route_type,route_id,surface,renderer_family,record_id,source_offset,source_char,source_codepoint,display,action,dom_class,first_visible_exists,first_visible_offset,first_visible_char,first_visible_width
hour,7,reflectionsContent,display_segment,PASSION24.HOUR.07.REF.P004,252,D,U+0044,block,,para-seg,False,,,
hour,7,reflectionsContent,display_segment,PASSION24.HOUR.07.REF.P004,385,Q,U+0051,block,,para-seg,False,,,
hour,8,meditationContent,display_segment,PASSION24.HOUR.08.P004,399,M,U+004D,block,,para-seg,False,,,
hour,8,meditationContent,speech_presentation_break,PASSION24.HOUR.08.P007,111, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,112,O,
hour,8,meditationContent,speech_presentation_break,PASSION24.HOUR.08.P008,42, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,43,E,
hour,8,meditationContent,speech_presentation_break,PASSION24.HOUR.08.P009,93, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,94,T,
hour,8,meditationContent,speech_presentation_break,PASSION24.HOUR.08.P009,210, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,211,Q,
hour,8,meditationContent,speech_presentation_break,PASSION24.HOUR.08.P014,34, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,35,P,
hour,8,meditationContent,display_segment,PASSION24.HOUR.08.P015,146,E,U+0045,block,,para-seg,False,,,
hour,8,meditationContent,display_segment,PASSION24.HOUR.08.P015,484,E,U+0045,block,,para-seg,False,,,
hour,8,meditationContent,display_segment,PASSION24.HOUR.08.P015,620,P,U+0050,block,,para-seg,False,,,
hour,8,meditationContent,display_segment,PASSION24.HOUR.08.P030,217,M,U+004D,block,,para-seg,False,,,
hour,9,meditationContent,speech_presentation_break,PASSION24.HOUR.09.P010,147, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,148,O,
hour,9,reflectionsContent,display_segment,PASSION24.HOUR.09.REF.P002,165,J,U+004A,block,,para-seg,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
library,PASSION24.TEXT.PART_III_MARY_SORROWS,library,ldc_cross_record,,,,,block,paragraph_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-paragraph_break,False,,,
