record_id,text,record_class,doc_id,doc_order,record_order,title,surface,source_index
PASSION24.TEXT.RELATED_HOUR_04.BODY.P135,Je veux que ces actes apportent la reproduction de Ma Vie sacramentelle. Oh ! Oui ! Ces âmes qui vivent dans Ma Volonté compensent pour toutes les communions que les créatures manquent de recevoir et pour les consécrations que les prêtres ne réalisent pas !,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,135,Textes liés à la 4e Heure,library_body,135
PASSION24.TEXT.RELATED_HOUR_04.BODY.P136,"En elles, Je trouve tout, même la reproduction de Ma Vie sacramentelle.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,136,Textes liés à la 4e Heure,library_body,136
PASSION24.TEXT.RELATED_HOUR_04.BODY.P137,"Je te le répète, ta mission est très grande.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,137,Textes liés à la 4e Heure,library_body,137
PASSION24.TEXT.RELATED_HOUR_04.BODY.P138,"Je n'aurais pu t'en donner une plus haute, plus noble, plus sublime, plus divine.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,138,Textes liés à la 4e Heure,library_body,138
PASSION24.TEXT.RELATED_HOUR_04.BODY.P139,"Il n'y a rien que Je ne concentrerai pas en toi, même jusqu'à la reproduction de Ma Vie.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,139,Textes liés à la 4e Heure,library_body,139
PASSION24.TEXT.RELATED_HOUR_04.BODY.P140,"Je vais accomplir de nouveaux prodiges de grâces jamais réalisés auparavant. Par conséquent, sois attentive et fidèle. Assure-toi que Ma Volonté trouve toujours vie en toi. Ainsi, Je vais retrouver en toi l'œuvre de la Création tout entière, avec tous les droits qui Me sont dus et tout ce que Je désire. »",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,140,Textes liés à la 4e Heure,library_body,140
PASSION24.TEXT.RELATED_HOUR_04.BODY.P141,Tome 14 — 6 juillet 1922 — Celui qui vit dans la Divine Volonté est dépositaire de la Vie sacramentelle de Jésus.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,141,Textes liés à la 4e Heure,library_body,141
PASSION24.TEXT.RELATED_HOUR_04.BODY.P142,Je continuais ma méditation sur les Heures de la Passion.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,142,Textes liés à la 4e Heure,library_body,142
PASSION24.TEXT.RELATED_HOUR_04.BODY.P143,"J'en étais à contempler la Dernière Cène, quand mon doux Jésus s'avança en mon intérieur et me toucha du bout d'un doigt.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,143,Textes liés à la 4e Heure,library_body,143
PASSION24.TEXT.RELATED_HOUR_04.BODY.P144,"Puis, toujours en mon intérieur, Il m'appela d'une voix forte, si forte que je l'entendis de mes oreilles physiques.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,144,Textes liés à la 4e Heure,library_body,144
PASSION24.TEXT.RELATED_HOUR_04.BODY.P145,Et je me suis dit : «Qu'est-ce que Jésus peut bien vouloir pour m'appeler ainsi ?»,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,145,Textes liés à la 4e Heure,library_body,145
PASSION24.TEXT.RELATED_HOUR_04.BODY.P146,Il me dit : «Je n'arrivais pas à capter ton attention.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,146,Textes liés à la 4e Heure,library_body,146
PASSION24.TEXT.RELATED_HOUR_04.BODY.P147,"J'ai dû hausser le ton pour que tu M'entendes. Écoute, Ma fille, quand J'ai institué l'Eucharistie, J'ai vu toutes les créatures et Je les ai toutes invitées à venir à Moi toutes les générations, du premier homme jusqu'au dernier afin que Je puisse offrir à tous Ma Vie sacramentelle.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,147,Textes liés à la 4e Heure,library_body,147
PASSION24.TEXT.RELATED_HOUR_04.BODY.P148,"Et cela, non seulement une fois, mais autant de fois qu'ils auront besoin de nourriture.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,148,Textes liés à la 4e Heure,library_body,148
PASSION24.TEXT.RELATED_HOUR_04.BODY.P149,"Je désirais être la nourriture de leur âme. Mais J'ai été très déçu quand J'ai réalisé que Ma vie sacramentelle était reçue avec indifférence, négligence, et même en Me donnant la mort.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,149,Textes liés à la 4e Heure,library_body,149
PASSION24.TEXT.RELATED_HOUR_04.BODY.P150,"J'ai éprouvé l'horreur de ces morts, souvent répétitives. Par la suite, M'étant ravisé, J'ai fait appel au Pouvoir de Ma Volonté et J'ai appelé autour de Moi les âmes qui allaient vivre dans Ma Volonté.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,150,Textes liés à la 4e Heure,library_body,150
PASSION24.TEXT.RELATED_HOUR_04.BODY.P151,"Oh ! Comme Je Me suis alors senti heureux, entouré de ces âmes que le Pouvoir de Ma Volonté avait absorbées et dont le centre de Vie était Ma Volonté.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,151,Textes liés à la 4e Heure,library_body,151
PASSION24.TEXT.RELATED_HOUR_04.BODY.P152,"J'ai vu en elles Mon immensité. En elles, Je Me suis senti protégé contre toutes les créatures ingrates.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,152,Textes liés à la 4e Heure,library_body,152
PASSION24.TEXT.RELATED_HOUR_04.BODY.P153,Et Je leur ai confié Ma Vie sacramentelle.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,153,Textes liés à la 4e Heure,library_body,153
PASSION24.TEXT.RELATED_HOUR_04.BODY.P154,"Je l'ai fait, non seulement pour qu'elles chérissent cette Vie sacramentelle, mais aussi pour que, par leur propre vie, elles M'offrent la réciprocité pour chaque Hostie consacrée.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,154,Textes liés à la 4e Heure,library_body,154
PASSION24.TEXT.RELATED_HOUR_04.BODY.P155,"Il est naturel pour elles de le faire parce que Ma Vie sacramentelle provient de Ma Volonté éternelle, laquelle est le centre de leur vie.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,155,Textes liés à la 4e Heure,library_body,155
PASSION24.TEXT.RELATED_HOUR_04.BODY.P156,"Quand Ma Vie sacramentelle les habite, la même Volonté qui agit en Moi agit aussi en elles. Lorsque Je sens leur vie dans Ma Vie sacramentelle, leur vie est multipliée dans chaque Hostie et Je sens qu'elles Me donnent la réciprocité, vie pour Vie.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,156,Textes liés à la 4e Heure,library_body,156
PASSION24.TEXT.RELATED_HOUR_04.BODY.P157,Oh ! Comme J'ai exulté en te voyant comme première âme appelée à vivre dans Ma Volonté !,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,157,Textes liés à la 4e Heure,library_body,157
PASSION24.TEXT.RELATED_HOUR_04.BODY.P158,J'ai déposé en toi la première de toutes Mes Vies sacramentelles.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,158,Textes liés à la 4e Heure,library_body,158
PASSION24.TEXT.RELATED_HOUR_04.BODY.P159,"Et Je t'ai octroyé le pouvoir et l'immensité de Ma Volonté suprême afin de te rendre apte à recevoir ce dépôt. À partir de ce moment, tu fus présente à Moi et J'ai joint à toi toutes les personnes qui allaient vivre dans Ma Volonté.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,159,Textes liés à la 4e Heure,library_body,159
PASSION24.TEXT.RELATED_HOUR_04.BODY.P160,"Je t'ai donné primauté sur toutes. Justement parce que Ma Volonté est au-dessus de tout, même des apôtres et des prêtres.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,160,Textes liés à la 4e Heure,library_body,160
PASSION24.TEXT.RELATED_HOUR_04.BODY.P161,"Il est vrai qu'ils Me consacrent. Mais, souvent, leur vie ne reste pas intimement liée à la mienne.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,161,Textes liés à la 4e Heure,library_body,161
PASSION24.TEXT.RELATED_HOUR_04.BODY.P162,"Et qui plus est, ils M'abandonnent, M'oublient et ne prennent pas soin de Ma Présence. Mais les âmes qui vivent dans Ma Volonté sont des vies dans Ma propre Vie. Par conséquent, elles sont inséparables de Moi. Voilà pourquoi Je t'aime tant. C'est Ma propre Volonté en toi que J'aime.»",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,162,Textes liés à la 4e Heure,library_body,162
PASSION24.TEXT.RELATED_HOUR_04.BODY.P163,"Tome 21 — 16 avril 1927 — Notre Seigneur a déposé sa Vie sacramentelle dans le Cœur de la Très Sainte Vierge Marie. Le grand bien que peut faire une vie animée par la Volonté Divine. Dans ses souffrances, la Très Sainte Vierge Marie trouvait le secret de la force dans la Volonté Divine.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,163,Textes liés à la 4e Heure,library_body,163
PASSION24.TEXT.RELATED_HOUR_04.BODY.P164,Je faisais l’heure où Jésus institua la très sainte Eucharistie.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,164,Textes liés à la 4e Heure,library_body,164
PASSION24.TEXT.RELATED_HOUR_04.BODY.P165,"Se manifestant en moi, Il me dit :",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,165,Textes liés à la 4e Heure,library_body,165
PASSION24.TEXT.RELATED_HOUR_04.BODY.P166,"Ma fille, lorsque J’accomplis un Acte, Je commence par regarder s’il existe une créature en qui Je peux déposer cet Acte, quelqu’un capable de prendre le bien que Je fais, de veiller sur Lui et de Le protéger.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,166,Textes liés à la 4e Heure,library_body,166
PASSION24.TEXT.RELATED_HOUR_04.BODY.P167,"Lorsque J’ai institué le Saint Sacrement, J’ai cherché une créature.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,167,Textes liés à la 4e Heure,library_body,167
PASSION24.TEXT.RELATED_HOUR_04.BODY.P168,Ma Reine Mère s’est offerte pour recevoir cet acte et le dépôt de ce grand Don.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,168,Textes liés à la 4e Heure,library_body,168
PASSION24.TEXT.RELATED_HOUR_04.BODY.P169,Elle disait : «,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,169,Textes liés à la 4e Heure,library_body,169
PASSION24.TEXT.RELATED_HOUR_04.BODY.P170,"Mon Fils, si je T’ai offert mon sein pour veiller sur Toi et Te défendre, je T’offre maintenant mon Cœur maternel pour recevoir ce grand dépôt.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,170,Textes liés à la 4e Heure,library_body,170
PASSION24.TEXT.RELATED_HOUR_04.BODY.P171,"Je dispose autour de Ta Vie sacramentelle mes affections, les battements de mon cœur, mon amour, mes pensées et mon être tout entier pour Te défendre, T’accompagner, T’aimer et Te faire réparation.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,171,Textes liés à la 4e Heure,library_body,171
PASSION24.TEXT.RELATED_HOUR_04.BODY.P172,Je m’engage à Te récompenser pour le Don que Tu nous fais.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,172,Textes liés à la 4e Heure,library_body,172
PASSION24.TEXT.RELATED_HOUR_04.BODY.P173,Confie-Toi à Ta Mère et je veillerai à défendre Ta Vie sacramentelle.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,173,Textes liés à la 4e Heure,library_body,173
PASSION24.TEXT.RELATED_HOUR_04.BODY.P174,"Et puisque Tu m’as constituée Reine de toute la Création, j’ai le droit de disposer autour de Toi toute la Lumière du soleil pour Te rendre hommage et adoration.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,174,Textes liés à la 4e Heure,library_body,174
PASSION24.TEXT.RELATED_HOUR_04.BODY.P175,"Je place autour de Toi pour Te rendre Amour et Gloire les étoiles, le ciel, la mer et tous les habitants de l’air. »",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,175,Textes liés à la 4e Heure,library_body,175
PASSION24.TEXT.RELATED_HOUR_04.BODY.P176,"Assuré de savoir où placer le grand dépôt de Ma Vie sacramentelle et faisant confiance à Ma Mère qui M’avait donné toutes les preuves de sa fidélité, J’instituai le très saint Sacrement.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,176,Textes liés à la 4e Heure,library_body,176
PASSION24.TEXT.RELATED_HOUR_04.BODY.P177,"Elle était la seule créature digne d’en avoir la garde, de Le défendre et de faire réparation pour Mon Acte.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,177,Textes liés à la 4e Heure,library_body,177
PASSION24.TEXT.RELATED_HOUR_04.BODY.P178,"Tu vois donc que lorsque les créatures Me reçoivent, Je descends en elles accompagné des Actes inséparables de Ma Mère,",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,178,Textes liés à la 4e Heure,library_body,178
PASSION24.TEXT.RELATED_HOUR_04.BODY.P179,C’est uniquement à cause de cela que Je peux supporter Ma Vie sacramentelle.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,179,Textes liés à la 4e Heure,library_body,179
PASSION24.TEXT.RELATED_HOUR_04.BODY.P180,"C’est pourquoi il est nécessaire, lorsque Je veux opérer une grande œuvre digne de Moi, que Je commence par choisir une créature afin d’avoir premièrement un lieu où déposer Mon Don.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,180,Textes liés à la 4e Heure,library_body,180
PASSION24.TEXT.RELATED_HOUR_04.BODY.P181,"ensuite, d’obtenir réparation.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,181,Textes liés à la 4e Heure,library_body,181
PASSION24.TEXT.RELATED_HOUR_04.BODY.P182,"C’est la même chose dans l’ordre naturel : si le fermier veut semer, il ne répand pas ses graines au milieu de la route.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,182,Textes liés à la 4e Heure,library_body,182
PASSION24.TEXT.RELATED_HOUR_04.BODY.P183,Il commence par chercher une parcelle.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,183,Textes liés à la 4e Heure,library_body,183
PASSION24.TEXT.RELATED_HOUR_04.BODY.P184,"Puis il travaille la terre, y creuse des sillons avant de semer.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,184,Textes liés à la 4e Heure,library_body,184
PASSION24.TEXT.RELATED_HOUR_04.BODY.P185,"Et pour que sa semence soit en sécurité, il la recouvre en attendant avec impatience la récolte en échange de son travail et des grains qu’il a confiés à la terre.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,185,Textes liés à la 4e Heure,library_body,185
PASSION24.TEXT.RELATED_HOUR_04.BODY.P186,"C’est ce que J’ai fait avec toi : Je t’ai choisie, préparée.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,186,Textes liés à la 4e Heure,library_body,186
PASSION24.TEXT.RELATED_HOUR_04.BODY.P187,Puis Je t’ai confié le grand Don des Manifestations de Ma Volonté.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,187,Textes liés à la 4e Heure,library_body,187
