paragraph_id,text_sha256,masked_host_text
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P100,855d46aaedc6eb18b2697774946e7879c4a2991e7e1568a6895a17b329d2c88a,"⟦Q:JESUS⟧ ""Maman, veux-Tu faire ceci ? Veux-Tu souffrir cette peine ?"""
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P180,1f341e7d776439ca0cba3b2f2170d578b1580ed98df82004fab8a1719d056523,⟦Q:JESUS⟧ »
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P097,e8cf7c9532d011ddcdb3e325a8c00c4e62277f85292bcc363554f92f0f6d16a2,⟦Q:JESUS⟧» Il ajouta : «⟦Q:JESUS⟧
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P111,b3ed347dba153e5287b4f32298a8692059f6ee73c490cfff16865f542ff705eb,"⟦Q:JESUS⟧» Un jour, alors que j'en étais à l'Heure où la céleste Maman participa à l'ensevelissement de Jésus, je me tenais près d'elle pour la consoler."
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P117,618de3968214a522b2eb4060fe2bf1c5d72f9e062284c294c867f52b4cbe8921,"Ensuite, Il m'embrassa et me dit avec une grande douceur : «⟦Q:JESUS⟧» Et Il me murmura tout ce que sa douce Maman fit et souffrit durant cette Heure."
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P131,cb98d783303cb8bebf4ca989ab4b87890bf82f6d59867fddf1d94012c24029fc,⟦Q:JESUS⟧» Jésus béni ajouta : «
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P144,7a34ae5d5b22108be211dfb67e771e3f786d2bb77945ad491ba9b6fe91356c2a,⟦Q:JESUS⟧» Puis Il
PASSION24.TEXT.RELATED_HOUR_01.BODY.P047,07637a43ae3504ce9f3b84b5787946729fd33f34d85ca691a31534576e681c6e,⟦Q:JESUS⟧»
PASSION24.TEXT.RELATED_HOUR_06.BODY.P011,df3bce6bc5fa308672f83c9482ee095481e57ba5a4d46bc4947c426127183721,⟦Q:JESUS⟧ «
PASSION24.TEXT.RELATED_HOUR_06.BODY.P033,27b35e712ada929b78118297d7fc554dba14fda1b6318572e41c700e353ae58a,"⟦Q:JESUS⟧» En disant cela, de sa sainte main, Jésus imprima ces morts d'amour en mon âme. Ensuite, Il disparut. Que tout soit pour la gloire de Dieu !"
PASSION24.TEXT.RELATED_HOUR_06.BODY.P036,1f62146d2298f27729892e391de327598b75e862d1955694f2894e2462c263b4,"⟦Q:JESUS⟧» Bougeant en moi, mon doux Jésus me dit : «"
PASSION24.TEXT.RELATED_HOUR_06.BODY.P043,a167c4cea985eb13e6aa55d60d9c022b26b8a3613f1d7b053339544aa694186e,⟦Q:JESUS⟧ ?
PASSION24.TEXT.RELATED_HOUR_06.BODY.P058,f4df240dd916ae9db6393948d8bf4c6b4d3d55599473d51688697d462725c435,⟦Q:JESUS⟧ ?
PASSION24.TEXT.RELATED_HOUR_07.BODY.P036,a75c135d1ac345599a8d6b115c1e8e80b0e9b23550e12183941fd2d116ddd210,"⟦Q:JESUS⟧» Pensant à ce que Jésus m'avait dit, je me disais : «"
