active_breaks_near_exit,alias_group,alias_key,all_projection_breaks,all_topology_breaks,context_after,context_before,full_text,label,next_char,next_token,orphan_break,paragraph_id,quoted,resume_lexical_offset,row_id,run_end,run_index,run_start,speaker,speech_end_map,text_sha256,wrapper_end,wrapper_start
50,PASSION24.HOUR.08.P015#R00,abc8c05392d2e76b,50,50," que Tu les rappelles à la Vie et que, de ta propre initiative, Tu Te places entre leurs mains. Et eux, perfides et ingrats, au lieu de s’humilier et de trembler à tes pieds pour T","Et Toi, ô Amour, c’est par un autre « ","Et Toi, ô Amour, c’est par un autre « Me voici ! » que Tu les rappelles à la Vie et que, de ta propre initiative, Tu Te places entre leurs mains. Et eux, perfides et ingrats, au lieu de s’humilier et de trembler à tes pieds pour Te demander pardon, ils abusent de ta Bonté et ils méprisent tes Grâces et tes Prodiges, ils Te mettent les Mains dans le dos et, avec des cordes et des chaînes, Te lient, Te serrent, Te jettent par terre, Te foulent aux pieds, Te tirent par les Cheveux. Et Toi, avec une patience inouïe, Tu Te tais, Tu souffres et Tu répares les offenses qui, malgré tes Miracles, sont faites obstinément. Par les cordes et les chaînes que Tu supportes, Tu brises les chaînes de nos fautes et Tu nous attaches par la douce chaîne de l’Amour.",8e Heure — L’arrestation de Jésus dans le Jardin des Oliviers,q,que,,PASSION24.HOUR.08.P015,Me voici !,51,PASSION24.HOUR.08.P015#R00,48,0,38,JESUS,50,0e8e25ba179b80db3015404fdc30bbeda72ac9d5710f67750d4468b27e4e1506,50,48
147,PASSION24.HOUR.09.P010#R00,2b5ffe70fd5050ff,147,147," Oui, mon Jésus, avec l’aide de ta Grâce et en m’identifiant à ta Divine Volonté je Te promets de ne jamais Te laisser seul.",,"Ah ! mon enfant, comme il est dur pour Moi cet abandon ! Je t’en prie, répare ma cruelle Souffrance par la promesse de ne jamais Me laisser seul. » Oui, mon Jésus, avec l’aide de ta Grâce et en m’identifiant à ta Divine Volonté je Te promets de ne jamais Te laisser seul.",9e Heure — Jésus est précipité dans le torrent du Cédron,O,Oui,,PASSION24.HOUR.09.P010,"Ah ! mon enfant, comme il est dur pour Moi cet abandon ! Je t’en prie, répare ma cruelle Souffrance par la promesse de ne jamais Me laisser seul.",148,PASSION24.HOUR.09.P010#R00,145,0,0,JESUS,147,0eff0c7e558d2dd5c679da7ac7e3b9e3db060a824c6ca1705cb32c65c1e83ebe,147,145
206,PASSION24.HOUR.10.P002#R00,84346c9896e8f9e5,206,206," À ces Paroles, tous tremblent. Perfidement, un serviteur s’approche de Toi. D’une main ferrée, il Te donne une gifle si forte qu’elle Te fait chanceler et rend livide ton doux Vis","sus, pour défendre la Gloire du Père, Tu réponds d’une Voix sonore et digne : « ","Il T’interroge sur ta Doctrine et tes disciples. Et Toi, ô Jésus, pour défendre la Gloire du Père, Tu réponds d’une Voix sonore et digne : « J’ai parlé en public, et tous ceux qui sont ici M’ont entendu ! » À ces Paroles, tous tremblent. Perfidement, un serviteur s’approche de Toi. D’une main ferrée, il Te donne une gifle si forte qu’elle Te fait chanceler et rend livide ton doux Visage !",10e Heure — Jésus est présenté à Anne,À,À,,PASSION24.HOUR.10.P002,"J’ai parlé en public, et tous ceux qui sont ici M’ont entendu !",207,PASSION24.HOUR.10.P002#R00,204,0,141,JESUS,206,8693e4f039b62d7bbfeffcc5c2dc4e37512184a6e4db7fbffa482a8843993b35,206,204
141,PASSION24.HOUR.11.P010#R00,ab3b3fe4d163763e,141,141," Mon doux Amour, le vacarme de tes ennemis est si considérable qu’il m’empêche de prendre un peu de sommeil. Les coups deviennent plus violents. J’entends le bruit des chaînes avec",,"Tu acquerras la force en Me voyant souffrir à ce point. Ce sera la plus belle défense que tu puisses M’accorder. Sois fidèle et attentive ! » Mon doux Amour, le vacarme de tes ennemis est si considérable qu’il m’empêche de prendre un peu de sommeil. Les coups deviennent plus violents. J’entends le bruit des chaînes avec lesquelles ils T’ont attaché si fermement que de tes Poignets jaillit du Sang, lequel marque ces rues.","11e Heure — Chez Caïphe, Jésus est accusé par de faux témoins",M,Mon,,PASSION24.HOUR.11.P010,Tu acquerras la force en Me voyant souffrir à ce point. Ce sera la plus belle défense que tu puisses M’accorder. Sois fidèle et attentive !,142,PASSION24.HOUR.11.P010#R00,139,0,0,JESUS,141,03748084ad481a333bb73fba4edf9d706a36d29b6a6898be656c4e342f9ea5ce,141,139
251,PASSION24.HOUR.11.P021#R00,ab96671683722f9f,251,251," Mon Bien renié, comme elles se reconnaissent vite les offenses de ceux qui Te sont les plus chers !",,"Ah ! Pierre, tu ne Me connais pas ? Tu ne te souviens pas de tous les Bienfaits dont Je t’ai comblé ? Si les autres Me font mourir de peines, toi, tu Me fais mourir de douleur ! Comme tu as mal fait de t’exposer aux occasions en Me suivant de loin ! » Mon Bien renié, comme elles se reconnaissent vite les offenses de ceux qui Te sont les plus chers !","11e Heure — Chez Caïphe, Jésus est accusé par de faux témoins",M,Mon,,PASSION24.HOUR.11.P021,"Ah ! Pierre, tu ne Me connais pas ? Tu ne te souviens pas de tous les Bienfaits dont Je t’ai comblé ? Si les autres Me font mourir de peines, toi, tu Me fais mourir de douleur ! Comme tu as mal fait de t’exposer aux occasions en Me suivant de loin !",252,PASSION24.HOUR.11.P021#R00,249,0,0,JESUS,251,a6762f6245c19d99c3d520afa0563f45b2c0f5645b86da76b5a8bcbc4e118a74,251,249
126,PASSION24.HOUR.11.P030#R00,3db946d2e7c76415,126,126," À ces Paroles solennelles, tous font silence et frissonnent d’épouvante. Après quelques instants de sa propre épouvante, Caïphe, furieux comme une bête féroce, dit à tous : « À qu",« ,"« C’est toi qui le dis. Je suis le Fils de Dieu. Un jour Je descendrai sur les nuées du Ciel pour juger toutes les nations. » À ces Paroles solennelles, tous font silence et frissonnent d’épouvante. Après quelques instants de sa propre épouvante, Caïphe, furieux comme une bête féroce, dit à tous : « À quoi bon les témoins maintenant ? Il vient de proférer un grand blasphème. Qu’attendons-nous de plus pour le condamner ? Il est coupable de mort ! »","11e Heure — Chez Caïphe, Jésus est accusé par de faux témoins",À,À,,PASSION24.HOUR.11.P030,C’est toi qui le dis. Je suis le Fils de Dieu. Un jour Je descendrai sur les nuées du Ciel pour juger toutes les nations.,126,PASSION24.HOUR.11.P030#R00,123,0,2,JESUS,126,428cebcfe9048cf1bf025e341d938e882e5f9e8198fd33bc23a8185508c3ed8c,125,123
147,PASSION24.HOUR.13.P005#R00,c9f76a28d9dbeec0,147,147," Mon Jésus, à ma stupeur, je vois qu’au lieu de Te préoccuper de tes Peines, Tu penses avec un Amour indicible à glorifier le Père pour Le dédommager de nos négligences envers Lui,",Tu me réponds : « ,"Tu me réponds : « Viens, ô âme. Sois attentive à tout ce que tu Me vois faire pour le faire avec Moi, afin que Je puisse continuer ma Vie en toi. » Mon Jésus, à ma stupeur, je vois qu’au lieu de Te préoccuper de tes Peines, Tu penses avec un Amour indicible à glorifier le Père pour Le dédommager de nos négligences envers Lui, et Tu appelles toutes les âmes autour de Toi pour prendre tous leurs maux sur Toi et leur donner tous tes Biens.",13e Heure — L’emprisonnement de Jésus,M,Mon,,PASSION24.HOUR.13.P005,"Viens, ô âme. Sois attentive à tout ce que tu Me vois faire pour le faire avec Moi, afin que Je puisse continuer ma Vie en toi.",148,PASSION24.HOUR.13.P005#R00,145,0,18,JESUS,147,a0e6d29206019aae50560efe0eeb3cb912c467a6f54555e7dad2fce6fe204bef,147,145
162,PASSION24.HOUR.15.P005#R00,b0d9150168887b94,162,162," Pilate est surpris et touché par la suavité et la dignité de tes Paroles, et il Te dit : « Comment, Tu es roi ? »",« ,"« Mon Règne n’est pas de ce monde. Si mon Règne était de ce monde, mes ministres feraient tous leurs efforts pour que Je ne sois pas remis au pouvoir des Juifs. » Pilate est surpris et touché par la suavité et la dignité de tes Paroles, et il Te dit : « Comment, Tu es roi ? »","15e Heure — Jésus est devant Pilate, puis devant Hérode",P,Pilate,,PASSION24.HOUR.15.P005,"Mon Règne n’est pas de ce monde. Si mon Règne était de ce monde, mes ministres feraient tous leurs efforts pour que Je ne sois pas remis au pouvoir des Juifs.",163,PASSION24.HOUR.15.P005#R00,160,0,2,JESUS,162,1fe7971777119b2d85e26afa8216a2231531c0b31ca409479224af3c289a4642,162,160
103,PASSION24.HOUR.16.P015#R00,c38781be3f326df5,103,103," Comme elles sont réelles et incessantes nos décisions de faire passer Dieu en second, même chez ceux qui aiment Jésus !",,"Et Moi, Je suis prêt à accepter qu’on Me fasse passer après Barabbas pour réparer toutes ces fautes ! » Comme elles sont réelles et incessantes nos décisions de faire passer Dieu en second, même chez ceux qui aiment Jésus !",16e Heure — Barabbas est préféré à Jésus – La flagellation,C,Comme,,PASSION24.HOUR.16.P015,"Et Moi, Je suis prêt à accepter qu’on Me fasse passer après Barabbas pour réparer toutes ces fautes !",104,PASSION24.HOUR.16.P015#R00,101,0,0,JESUS,103,931b222d6046ed3b0f46fad9efda0d19fe435f9fc18b9a7584c4290cee10cf1f,103,101
76,PASSION24.HOUR.16.P028#R00,5486aa91827726ef,76,76," Jésus torturé, ton Amour passe d’un excès à l’autre. Je vois que tes bourreaux prennent des fouets de corde et Te battent sans pitié, à tel point que ton Corps infiniment saint de",,"Par conséquent, sois attentive à ce que Je fais, prie et répare avec Moi ! » Jésus torturé, ton Amour passe d’un excès à l’autre. Je vois que tes bourreaux prennent des fouets de corde et Te battent sans pitié, à tel point que ton Corps infiniment saint devient tout livide.",16e Heure — Barabbas est préféré à Jésus – La flagellation,J,Jésus,,PASSION24.HOUR.16.P028,"Par conséquent, sois attentive à ce que Je fais, prie et répare avec Moi !",77,PASSION24.HOUR.16.P028#R00,74,0,0,JESUS,76,587bfb1c0a6d2bf5885a6df287a9d1e209c2114dda005960440fe42202eb61ea,76,74
